rank,name,pop2022,pop2010,growth,density,aland_sqmi,latitude,longitiude
8,South Fulton,104786,86142,0.2164,1236,84.79,33.65,-84.62
15,Brookhaven,60129,49688,0.2101,5178,11.613,33.86,-84.33
22,Peachtree Corners,45099,38142,0.1824,2799,16.112,33.96,-84.22
18,Stonecrest,56340,50256,0.1211,1506,37.4,33.7,-84.13
240,Tybee Island,2928,2988,-0.0201,1003,2.919,32.01,-80.85
80,Wilmington Island,15834,15138,0.046,1907,8.302,32,-80.98
320,Talahi Island,1472,1248,0.1795,1144,1.287,32.03,-80.98
142,Whitemarsh Island,6893,6792,0.0149,1192,5.782,32.03,-81.01
349,Dutch Island,1162,1257,-0.0756,472,2.46,32,-81.03
118,Skidaway Island,8986,8341,0.0773,545,16.491,31.94,-81.04
253,Thunderbolt,2518,2527,-0.0036,1858,1.355,32.03,-81.05
257,Isle of Hope,2487,2402,0.0354,1268,1.961,31.98,-81.05
177,Montgomery,4584,4523,0.0135,879,5.215,31.94,-81.11
5,Savannah,140405,137412,0.0218,1351,103.91,32.03,-81.18
124,Garden City,8410,8687,-0.0319,586,14.345,32.09,-81.18
95,Port Wentworth,13010,5428,1.3968,794,16.393,32.19,-81.2
97,Georgetown,12951,11823,0.0954,1575,8.221,31.98,-81.23
105,Rincon,11108,9001,0.2341,1141,9.738,32.29,-81.24
42,Pooler,30644,18616,0.6461,1108,27.649,32.1,-81.25
276,Henderson,2219,1647,0.3473,1272,1.745,32.01,-81.27
81,Richmond Hill,15816,9465,0.671,672,23.546,31.93,-81.31
186,Springfield,4186,2809,0.4902,1360,3.078,32.36,-81.31
248,Bloomingdale,2590,2642,-0.0197,188,13.774,32.12,-81.31
87,St. Simons,14778,12743,0.1597,897,16.483,31.18,-81.39
246,Guyton,2685,1681,0.5973,837,3.207,32.34,-81.42
275,Midway,2220,2089,0.0627,345,6.443,31.8,-81.42
289,Darien,2002,1931,0.0368,95,21.165,31.36,-81.43
392,Riceboro,802,788,0.0178,72,11.119,31.73,-81.44
129,Country Club Estates,8194,8545,-0.0411,1772,4.624,31.21,-81.46
79,Brunswick,16055,15311,0.0486,941,17.058,31.14,-81.47
138,Dock Junction,7454,7721,-0.0346,797,9.358,31.2,-81.52
230,Kings Bay Base,3158,1777,0.7772,1151,2.743,30.8,-81.56
401,Flemington,735,725,0.0138,154,4.766,31.85,-81.56
59,St. Marys,19758,17272,0.1439,866,22.822,30.76,-81.57
112,Fort Stewart,9643,4924,0.9584,963,10.013,31.87,-81.61
400,Allenhurst,737,730,0.0096,673,1.095,31.78,-81.61
33,Hinesville,34881,32962,0.0582,1920,18.167,31.83,-81.62
184,Walthourville,4259,4138,0.0292,1109,3.841,31.77,-81.62
241,Pembroke,2896,2150,0.347,380,7.627,32.15,-81.62
254,Sylvania,2511,2593,-0.0316,503,4.994,32.75,-81.64
284,Brooklet,2145,1389,0.5443,651,3.294,32.39,-81.67
61,Kingsland,19488,15880,0.2272,436,44.706,30.82,-81.72
325,Woodbine,1364,1404,-0.0285,543,2.511,30.96,-81.72
262,Ludowici,2442,1728,0.4132,1049,2.327,31.71,-81.75
370,Sardis,948,999,-0.0511,612,1.548,32.98,-81.76
29,Statesboro,36875,28453,0.296,2477,14.889,32.44,-81.77
110,Jesup,9952,10196,-0.0239,601,16.546,31.6,-81.89
283,Claxton,2147,2381,-0.0983,1235,1.738,32.16,-81.91
170,Glennville,4783,5169,-0.0747,677,7.07,31.94,-81.93
371,Hagan,947,991,-0.0444,463,2.044,32.15,-81.93
403,Portal,731,636,0.1494,365,2.001,32.54,-81.93
245,Millen,2715,3113,-0.1279,759,3.579,32.81,-81.94
334,Nahunta,1252,1051,0.1912,444,2.819,31.21,-81.98
150,Folkston,6162,4818,0.279,1470,4.191,30.84,-82.01
162,Waynesboro,5192,5890,-0.1185,949,5.472,33.09,-82.01
364,Homeland,974,923,0.0553,390,2.499,30.86,-82.02
394,Screven,777,765,0.0157,360,2.157,31.48,-82.02
452,Odum,506,504,0.004,250,2.027,31.67,-82.03
199,Metter,3900,4086,-0.0455,520,7.498,32.4,-82.06
3,Augusta,200477,196375,0.0209,663,302.274,33.36,-82.07
